0 2 4
1 2 0
2 0 5
3 0 10
4 0 2
5 0 3
6 1 0
7 3 5
8 0 3
9 2 4
10 7 7
11 159 179
12 17 24
13 0 2
14 0 2
15 2 2
16 0 2
17 1 3
18 0 2
19 1 2
20 0 3
21 0 2
22 2 0
23 0 2
24 2 2
25 0 2
26 1 1
27 0 3
28 2 0
29 0 4
30 0 4
31 0 1
32 0 6
33 13 0
34 1 20
35 0 2
36 1 3
37 1 0
38 0 3
39 0 1
40 0 2
41 1 0
42 2 10
43 0 3
44 0 2
45 47 0
46 0 2
47 2 6
48 0 3
49 1 1
50 2 1
51 174 169
52 9 14
53 0 2
54 61 60
55 1 5
56 23 26
57 0 1
58 0 2
59 4 5
60 9 12
61 8 7
62 5 4
63 1 8
64 21 40
65 0 2
66 2 2
67 0 2
68 0 2
69 0 3
70 0 1
71 0 1
72 1 6
73 1 4
74 0 3
75 1 3
76 1 10
77 1 0
78 0 2
79 1 3
80 0 2
81 2 2
82 1 3
83 0 2
84 0 2
85 1 3
86 2 9
87 0 2
88 1 3
89 1 0
90 0 2
91 0 2
92 0 3
93 0 2
94 4 0
95 0 9
96 66 86
97 1 2
98 0 2
99 26 42
100 8 14
101 0 3
102 1 5
103 6 0
104 1 7
105 3 0
106 0 5
107 0 4
108 0 3
109 4 2
110 0 2
111 0 1
112 32 72
113 2 0
114 0 2
115 12 12
116 0 2
117 2 0
118 0 2
119 3 8
120 0 2
121 8 0
122 0 11
123 3 0
124 5 0
125 3 26
126 0 2
127 152 0
128 38 288
129 0 2
130 2 2
131 2 2
132 0 3
133 2 4
134 2 0
135 0 3
136 0 2
137 1 2
138 1 1
139 3 0
140 0 2
141 2 2
142 16 14
143 3 20
144 1 3
145 3 5
146 45 0
147 3 73
148 1 4
149 2 2
150 0 2
151 0 1
152 0 2
153 22 0
154 50 0
155 1 146
156 1 0
157 0 2
158 24 18
159 0 2
160 2 0
161 3 3
162 8 9
163 7 0
164 0 10
165 2 2
166 2 3
167 0 2
168 0 3
169 5 0
170 0 2
171 3 4
172 13 0
173 0 18
174 0 1
175 14 0
176 0 8
177 0 2
178 0 2
179 0 2
180 0 2
181 2 1
182 9 0
183 1 11
184 0 2
185 0 1
186 3 3
187 0 2
188 2 0
189 0 1
190 2 9
191 1 2
192 1 3
193 0 3
194 0 2
195 0 2
196 0 3
197 2 2
198 4 6
199 1 11
200 0 2
201 0 2
202 0 2
203 5 0
204 0 2
205 1 3
206 0 2
207 6 0
208 1 8
209 2 0
210 0 2
211 2 10
